TimeUS,gpSA,gpHA,gpVA
 280717271, 0.337, 1.365, 2.288
 280922797, 0.407, 1.366, 2.29
 281122703, 0.382, 1.368, 2.292
 281322622, 0.338, 1.369, 2.294
 281502268, 0.36, 1.371, 2.296
 281722670, 0.358, 1.373, 2.298
 281922657, 0.376, 1.375, 2.301
 282122806, 0.335, 1.376, 2.305
 282322691, 0.327, 1.376, 2.309
 282502656, 0.436, 1.378, 2.315
 282702822, 0.434, 1.38, 2.321
 282902791, 0.441, 1.383, 2.327
 283102668, 0.432, 1.385, 2.329
 283322944, 0.487, 1.386, 2.334
 283522987, 0.418, 1.385, 2.335
 283722937, 0.428, 1.384, 2.335
 283922937, 0.435, 1.383, 2.337
 284123028, 0.424, 1.383, 2.336
 284322950, 0.43, 1.383, 2.336
 284523109, 0.47, 1.385, 2.339
 284722989, 0.45, 1.387, 2.342
