TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
85288706,0.00160553,0.1018685,0.653496,0.5532331,0.6357837,0.5683646,0.04624878,0.07233307
85388536,0.06279521,0.1828336,0.7047043,0.584666,0.6784073,0.5678691,0.02303749,0.02864958
85488692,0.1288821,0.2649945,0.7558447,0.6197323,0.7467151,0.5607082,0.05742096,0.02523217
85588633,0.1998551,0.3485708,0.8060429,0.6573271,0.7667676,0.5424706,0.03946877,0.03892602
85688778,0.2756082,0.4342299,0.8544158,0.695794,0.8136374,0.5177492,0.05735393,0.06347881
85788664,0.3559799,0.5224645,0.9006667,0.7341821,0.8207267,0.4924551,0.04377025,0.07986716
85888765,0.440793,0.6090734,0.9447557,0.7764754,0.8453319,0.4670694,0.128629,0.1072612
85988672,0.5298643,0.6950221,0.9866524,0.8214946,0.8606167,0.4415961,0.1642541,0.1359556
86088619,0.6230041,0.7834324,1.026327,0.8658987,0.8585308,0.4160383,0.1776731,0.1574222
86188694,0.7200171,0.8746185,1.063752,0.9091501,0.8827475,0.3903997,0.1821334,0.1545122
86288644,0.820703,0.9694353,1.098899,0.9501669,0.9433038,0.364683,0.1176571,0.1392793
86388634,0.9248564,1.067291,1.131745,0.9893098,0.9523571,0.3388916,0.1425906,0.1302759
86488719,1.032267,1.166654,1.162264,1.027877,0.9650629,0.313028,0.1860881,0.145285
86588631,1.142719,1.268577,1.190433,1.064574,1.032677,0.2870957,0.1244338,0.1496159
86688693,1.255992,1.373001,1.21623,1.099221,1.01182,0.261097,0.1194551,0.1594173
86788733,1.371862,1.480874,1.239634,1.130622,1.069977,0.2350352,0.07071067,0.1339985
86888667,1.490098,1.591272,1.260625,1.159451,1.082296,0.2089133,0.04636921,0.1013779
86988571,1.610453,1.704789,1.279181,1.184845,1.108425,0.1827372,0.02339308,0.05605737
87088709,1.732676,1.821672,1.295284,1.206288,1.15281,0.1565128,-0.03283391,0.02164987
87188749,1.856522,1.940877,1.308919,1.224564,1.182125,0.1302434,-0.03874149,0.005826838
87288674,1.981744,2.063393,1.320072,1.238423,1.174829,0.1039326,-0.05200686,-0.01328304
87388656,2.108089,2.190313,1.328728,1.246505,1.20195,0.07758438,-0.08990061,-0.03632864
