TimeUS,gprLat,gprLng,gprAlt,gprN,gprE,gprD
 136488716, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136491215, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136493714, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136496213, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136498712, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136501211, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136503710, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136506209, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136508708, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136511207, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136513706, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136516205, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136518704, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136521203, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136523702, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136526201, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136528700, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136531199, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136533698, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136536197, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136538696, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136541195, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136543694, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136546193, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136548692, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136551191, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136553690, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136556189, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136558688, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136561187, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136563686, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136566185, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136568684, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136571183, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136573682, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136576181, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136578680, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136581179, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136583678, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136586177, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136588676, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136591175, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136593674, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136596173, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136598672, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136601171, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136603670, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136606169, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136608668, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136611167, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136613666, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136616165, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136618664, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136621163, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136623662, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136626161, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136628660, -353642150, 1491652789, -1006802413, -0.137, -0.049, 1.479
 136631159, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136633658, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136636157, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136638656, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136641155, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136643654, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136646153, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136648652, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136651151, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136653650, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136656149, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136658648, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136661147, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136663646, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136666145, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136668644, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136671143, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136673642, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136676141, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136678640, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136681139, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136683638, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136686137, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136688636, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136691135, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136693634, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136696133, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136698632, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136701131, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136703630, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136706129, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136708628, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136711127, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136713626, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136716125, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
 136718624, -353642153, 1491652787, -1006802413, -0.128, -0.051, 1.48
