TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 250736472, 1.191182, 1.191182, -0.0002371418, -0.0002371418, -0.0002371418, 0, 1.037181E-05, 1.037181E-05
PSCN, 250836589, 1.189991, 1.189991, 0.001399197, 0.001399197, 0.001399197, 0, 1.039241E-05, 1.039241E-05
PSCN, 250936580, 1.189421, 1.189421, -0.0169275, -0.0169275, -0.0169275, 0, 1.041869E-05, 1.041869E-05
PSCN, 251036691, 1.188741, 1.188741, 0.003809561, 0.003809561, 0.003809561, 0, 1.040432E-05, 1.040432E-05
PSCN, 251136628, 1.187748, 1.187748, 0.009470459, 0.009470459, 0.009470459, 0, 1.036746E-05, 1.036746E-05
PSCN, 251236616, 1.186271, 1.186271, 0.01039591, 0.01039591, 0.01039591, 0, 1.034835E-05, 1.034835E-05
PSCN, 251336653, 1.184865, 1.184865, 0.01293776, 0.01293776, 0.01293776, 0, 1.034328E-05, 1.034328E-05
PSCN, 251436564, 1.183011, 1.183011, -0.01611367, -0.01611367, -0.01611367, 0, 1.042651E-05, 1.042651E-05
PSCN, 251536613, 1.181428, 1.181428, -0.01443779, -0.01443779, -0.01443779, 0, 1.048535E-05, 1.048535E-05
PSCN, 251636661, 1.179989, 1.179989, 0.01687776, 0.01687776, 0.01687776, 0, 1.045E-05, 1.045E-05
PSCN, 251736679, 1.177796, 1.178674, -0.02499455, -0.02587313, 0.02034005, 0.02507846, -0.09843231, -0.03502081
PSCN, 251836690, 1.17546, 1.177757, -0.02185811, -0.02415469, 0.007013136, 0.02193149, -0.0182275, -0.04220282
PSCN, 251936827, 1.173418, 1.177877, -0.01911541, -0.02357411, -0.004252741, 0.01917958, -0.01874046, -0.03782329
PSCN, 252036585, 1.171632, 1.179089, -0.01671693, -0.02417381, 0.0005027183, 0.01677306, -0.06928059, -0.04923771
PSCN, 252136564, 1.170071, 1.180327, -0.01461945, -0.0248759, 0.004801237, 0.01466853, -0.07204608, -0.06464387
PSCN, 252236561, 1.168705, 1.181335, -0.01278514, -0.02541563, -0.001339979, 0.01282807, -0.08073869, -0.07022771
PSCN, 252336545, 1.16751, 1.182595, -0.01118102, -0.02626617, 0.0137672, 0.01121856, -0.1031491, -0.08172283
PSCN, 252436601, 1.166465, 1.183659, -0.009778165, -0.02697195, 0.004183252, 0.009810993, -0.1034592, -0.08439163
PSCN, 252536592, 1.165552, 1.184405, -0.008551325, -0.02740446, 0.01949289, 0.008580035, -0.1064872, -0.09577292
PSCN, 252636726, 1.164753, 1.184771, -0.007478414, -0.0274967, 0.01183315, 0.00750352, -0.09637121, -0.1039511
PSCN, 252736630, 1.164054, 1.185094, -0.006540114, -0.02757968, 0.008512947, 0.006562071, -0.1060759, -0.1086618
PSCN, 252836740, 1.163443, 1.184831, -0.005719542, -0.02710732, -4.960024E-05, 0.005738744, -0.100282, -0.1058026
PSCN, 252936652, 1.162909, 1.186131, -0.005001922, -0.0282245, 0.05103451, 0.005018714, -0.1943495, -0.1252392
PSCN, 253036654, 1.162441, 1.188074, -0.004374342, -0.03000685, 0.0123193, 0.004389028, -0.04897979, -0.1222134
PSCN, 253136689, 1.162033, 1.186815, -0.003825505, -0.02860739, -0.02652638, 0.003838348, -0.002608586, -0.06851828
PSCN, 253236638, 1.161675, 1.182204, -0.003345528, -0.02387408, -0.03117293, 0.00335676, -0.0116616, -0.03653137
PSCN, 253336625, 1.161363, 1.178167, -0.002925774, -0.01972966, 0.004551742, 0.002935597, -0.1618183, -0.06157672
PSCN, 253436642, 1.161089, 1.174325, -0.002558684, -0.01579391, 0.06145316, 0.002567274, -0.2897008, -0.1066711
PSCN, 253536737, 1.16085, 1.174785, -0.002237653, -0.01617245, 0.05762658, 0.002245165, -0.3178335, -0.1912902
PSCN, 253636654, 1.160641, 1.178297, -0.001971614, -0.01962746, 0.09482341, 0.01733624, -0.3837988, -0.2538541
PSCN, 253736742, 1.160473, 1.185138, -0.001127272, -0.02579225, 0.07935725, 0.05589047, -0.3529646, -0.3017286
PSCN, 253836693, 1.160498, 1.194905, 0.001938467, -0.03246824, 0.1431497, 0.07840966, -0.4110967, -0.3211918
PSCN, 253936549, 1.160938, 1.206223, 0.006962294, -0.03832342, 0.1065316, 0.07855576, -0.3824267, -0.3394134
PSCN, 254036777, 1.161944, 1.218446, 0.01319186, -0.04330986, 0.08069274, 0.08902451, -0.3894746, -0.3514232
PSCN, 254136567, 1.163629, 1.230567, 0.02047898, -0.04645896, 0.09442589, 0.1018376, -0.4205922, -0.376882
PSCN, 254236607, 1.166098, 1.242093, 0.02885024, -0.04714536, 0.1072935, 0.1086544, -0.4480006, -0.3901116
PSCN, 254336612, 1.169449, 1.256445, 0.03812081, -0.0488745, 0.1626338, 0.1769101, -0.4822929, -0.4338054
