TimeUS,gpSA,gpHA,gpVA
 192996128, 0.201, 1.225, 1.776
 193196114, 0.226, 1.224, 1.776
 193396147, 0.248, 1.224, 1.777
 193596129, 0.389, 1.225, 1.778
 193796146, 0.39, 1.226, 1.779
 193996117, 0.384, 1.226, 1.78
 194196240, 0.416, 1.227, 1.782
 194396247, 0.371, 1.229, 1.782
 194596133, 0.399, 1.23, 1.784
 194796192, 0.386, 1.23, 1.784
 194996119, 0.385, 1.23, 1.784
 195196143, 0.304, 1.231, 1.785
 195396161, 0.276, 1.231, 1.785
 195596152, 0.352, 1.232, 1.786
 195796139, 0.309, 1.234, 1.787
